task;task.short_description;Urgency;task.business_duration
INC0403258;DMDB12:mon_BD_ORACLE_query[my_checks_05m,lista_bloqueos,status] TRIGGERED EVENT: zbxora[query,my_checks_05m,lista_bloqueos] failed WITH VALUE:1489;Not immediate;234
INC0403259;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:10;Some;371
INC0403259;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:10;Some;371
INC0403260;PRE HIGH Alert Type: Latency. Threshold Crossed: 1 datapoint [59.86550831794739 (28/04/21 01:32:00)] was greater than or equal to the threshold (10.0).;Not immediate;48517
INC0403260;PRE HIGH Alert Type: Latency. Threshold Crossed: 1 datapoint [59.86550831794739 (28/04/21 01:32:00)] was greater than or equal to the threshold (10.0).;Not immediate;48517
INC0403261;PRE WARN Alert Type: Latency. Threshold Crossed: 1 datapoint [59.86550831794739 (28/04/21 01:32:00)] was greater than or equal to the threshold (6.0).;Not immediate;48536
INC0403261;PRE WARN Alert Type: Latency. Threshold Crossed: 1 datapoint [59.86550831794739 (28/04/21 01:32:00)] was greater than or equal to the threshold (6.0).;Not immediate;48536
INC0403262;CFPLKBM013:mon_SO_UNIX_CPU $2 time TRIGGERED EVENT: Disk I/O is overloaded on CFPLKBM013 WITH VALUE:22.1865;Not immediate;246
INC0403263;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:7.9750;Some;243
INC0403263;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:7.9750;Some;243
INC0403264;PRO WARN Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [8070952.0 (28/04/21 05:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;32715
INC0403264;PRO WARN Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [8070952.0 (28/04/21 05:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;32715
INC0403265;PRO HIGH Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [1.2700242E7 (28/04/21 06:06:00)] was greater than or equal to the threshold (1.0E7).;Not immediate;32058
INC0403265;PRO HIGH Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [1.2700242E7 (28/04/21 06:06:00)] was greater than or equal to the threshold (1.0E7).;Not immediate;32058
INC0403265;PRO HIGH Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [1.2700242E7 (28/04/21 06:06:00)] was greater than or equal to the threshold (1.0E7).;Not immediate;32058
INC0403265;PRO HIGH Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [1.2700242E7 (28/04/21 06:06:00)] was greater than or equal to the threshold (1.0E7).;Not immediate;32058
INC0403266;PRO WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (28/04/21 06:37:00)] was greater than or equal to the threshold (16.0).;Not immediate;30281
INC0403266;PRO WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (28/04/21 06:37:00)] was greater than or equal to the threshold (16.0).;Not immediate;30281
INC0403267;PRO HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (28/04/21 06:37:00)] was greater than or equal to the threshold (20.0).;Some;30237
INC0403267;PRO HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (28/04/21 06:37:00)] was greater than or equal to the threshold (20.0).;Some;30237
INC0403267;PRO HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (28/04/21 06:37:00)] was greater than or equal to the threshold (20.0).;Some;30237
